rank,freq,Infinitiv,Unreg,Trans,"Präsens_ich","Präsens_ich*","Präsens_du","Präsens_du*","Präsens_er, sie, es","Präteritum_ich","Präteritum_ich*","Partizip II","Partizip II*","Konjunktiv II_ich","Konjunktiv II_ich*","Imperativ Singular","Imperativ Singular*","Imperativ Singular 2","Imperativ Plural","Imperativ Plural*",Hilfsverb,Hilfsverb*,Bild,"Bild 1","Bild 2","Bild 3","Bild 4"
3422,1462,rasieren,"","",rasiere,"",rasierst,"",rasiert,rasierte,"",rasiert,"",rasierte,"",rasier,rasiere,"",rasiert,"",haben,"","","Shaving2.jpg|mini|1|den Bart ''rasieren''","","",""
3428,1459,kleben,"","",klebe,"",klebst,"",klebt,klebte,"",geklebt,"",klebte,"",kleb,klebe,"",klebt,"",haben,"","","","","",""
3433,1456,spucken,"","",spucke,"",spuckst,"",spuckt,spuckte,"",gespuckt,"",spuckte,"",spucke,spuck,"",spuckt,"",haben,"","","","","",""
3435,1456,quietschen,"","",quietsche,"",quietschst,"",quietscht,quietschte,"",gequietscht,"",quietschte,"",quietsch,"","",quietscht,"",haben,"","Son de l'ouverture et fermeture du portail du cimetière du Mas Rillier.ogg|mini|1|Eine [[Tür]] ''quietscht'' beim [[öffnen|Öffnen]] [[laut]].","","","",""
3439,1454,gestatten,"","",gestatte,"",gestattest,"",gestattet,gestattete,"",gestattet,"",gestattete,"",gestatte,"","",gestattet,"",haben,"","","","","",""
3445,1451,"auflösen","","","löse auf","","löst auf","","löst auf","löste auf","","aufgelöst","","löste auf","","löse auf","","","löst auf","",haben,"","","","","",""
3447,1450,verweigern,"","",verweigere,"",verweigerst,"",verweigert,verweigerte,"",verweigert,"",verweigerte,"",verweigere,verweiger,"",verweigert,"",haben,"","","","","",""
3449,1449,erleichtern,"","",erleichtere,"",erleichterst,"",erleichtert,erleichterte,"",erleichtert,"",erleichterte,"",erleichtere,"","",erleichtert,"",haben,"","","","","",""
3451,1448,siegen,"","",siege,"",siegst,"",siegt,siegte,"",gesiegt,"",siegte,"",siege,"","",siegt,"",haben,"","","","","",""
3455,1443,durchfahren,"","",durchfahre,"","durchfährst","","durchfährt",durchfuhr,"",durchfahren,"","durchführe","",durchfahr,"","",durchfahrt,"",haben,"","","","","",""
3455,1443,durchfahren,"","","fahre durch","","fährst durch","","fährt durch","fuhr durch","",durchgefahren,"","führe durch","","fahr durch","","","fahrt durch","",sein,"","","","","",""
