rank,freq,Infinitiv,Unreg,Trans,"Präsens_ich","Präsens_du","Präsens_er, sie, es","Präteritum_ich","Partizip II","Konjunktiv II_ich","Imperativ Singular","Imperativ Plural",Hilfsverb
278,32609,lieben,"",X,liebe,liebst,liebt,liebte,geliebt,liebte,liebe,liebt,haben
282,32482,stellen,"","",stelle,stellst,stellt,stellte,gestellt,stellte,stelle,stellt,haben
286,31893,ziehen,"","",ziehe,ziehst,zieht,zog,gezogen,"zöge",ziehe,zieht,haben
287,31831,kriegen,"","",kriege,kriegst,kriegt,kriegte,gekriegt,kriegte,kriege,kriegt,haben
293,30237,"verrücken","","","verrücke","verrückst","verrückt","verrückte","verrückt","verrückte","verrück","verrückt",haben
294,30083,trinken,X,"",trinke,trinkst,trinkt,trank,getrunken,"tränke",trink,trinkt,haben
295,29811,hoffen,"","",hoffe,hoffst,hofft,hoffte,gehofft,hoffte,hoff,hofft,haben
298,29407,schreiben,"","",schreibe,schreibst,schreibt,schrieb,geschrieben,schriebe,schreibe,schreibt,haben
305,28893,bereiten,"","",bereite,bereitest,bereitet,bereitete,bereitet,bereitete,bereite,bereitet,haben
305,28893,bereiten,"","",bereite,bereitest,bereitet,beritt,beritten,beritte,bereit,bereitet,haben
309,28607,setzen,"","",setze,setzt,setzt,setzte,gesetzt,setzte,setze,setzt,haben
310,28308,bedeuten,"","",bedeute,bedeutest,bedeutet,bedeutete,bedeutet,bedeutete,bedeute,bedeutet,haben
313,28107,rufen,"","",rufe,rufst,ruft,rief,gerufen,riefe,rufe,ruft,haben
319,27633,lesen,"","",lese,liest,liest,las,gelesen,"läse",lies,lest,haben
320,27615,lernen,"","",lerne,lernst,lernt,lernte,gelernt,lernte,lerne,lernt,haben
322,27578,retten,"","",rette,rettest,rettet,rettete,gerettet,rettete,rette,rettet,haben
323,27500,sorgen,"","",sorge,sorgst,sorgt,sorgte,gesorgt,sorgte,sorg,sorgt,haben
333,26605,sitzen,"","",sitze,sitzt,sitzt,"saß",gesessen,"säße",sitz,sitzt,haben
335,26367,tragen,"","",trage,"trägst","trägt",trug,getragen,"trüge",trag,tragt,haben
338,26222,scheinen,"","",scheine,scheinst,scheint,schien,geschienen,schiene,scheine,scheint,haben
341,26085,verlassen,"","",verlasse,"verlässt","verlässt","verließ",verlassen,"verließe",verlasse,verlasst,haben
347,25438,ruhen,"","",ruhe,ruhst,ruht,ruhte,geruht,ruhte,ruh,ruht,haben
348,25371,"kümmern","","","kümmere","kümmerst","kümmert","kümmerte","gekümmert","kümmerte","kümmere","kümmert",haben
350,24963,versprechen,"",X,verspreche,versprichst,verspricht,versprach,versprochen,"verspräche",versprich,versprecht,haben
354,24807,reichen,"","",reiche,reichst,reicht,reichte,gereicht,reichte,reiche,reicht,haben
356,24521,anrufen,"","","rufe an","rufst an","ruft an","rief an",angerufen,"riefe an","ruf an","ruft an",haben
