rank,freq,Nominativ,Genus,"Nominativ Singular","Nominativ Plural","Genitiv Singular","Genitiv Plural","Dativ Singular","Dativ Plural","Akkusativ Singular","Akkusativ Plural",Bild,"Bild 1","Bild 2","Bild 3","Bild 4"
5567,766,Erdbeben,n,Erdbeben,Erdbeben,Erdbebens,Erdbeben,Erdbeben,Erdbeben,Erdbeben,Erdbeben,"San Francisco Earthquake aftermath, 1906.ogv|mini|1|[[San Francisco]] nach dem [[groß]]en ''Erdbeben'' von 1906","","","",""
5569,766,Aufenthalt,m,Aufenthalt,Aufenthalte,Aufenthalts,Aufenthalte,Aufenthalt,Aufenthalten,Aufenthalt,Aufenthalte,"","","","",""
5574,765,Maschinenraum,m,Maschinenraum,"Maschinenräume",Maschinenraumes,"Maschinenräume",Maschinenraum,"Maschinenräumen",Maschinenraum,"Maschinenräume","Maschinendeck MS Deutschland.JPG|mini|1|''Maschinenraum''  eines Kreuzfahrtschiffs","","","",""
5575,765,Finsternis,f,Finsternis,Finsternisse,Finsternis,Finsternisse,Finsternis,Finsternissen,Finsternis,Finsternisse,"LightningVolt_Deep_Blue_Sea.jpg|mini|1|Tiefer unter Wasser umhüllt die ''Finsternis'' alles","","","",""
5581,763,Liter,mn,Liter,Liter,"",Liter,Liter,Litern,Liter,Liter,"","","","",""
5586,762,Dom,m,Dom,Dome,Domes,Dome,Dom,Domen,Dom,Dome,"","Tobu World Square St Peters Basilica 2.jpg|300px|1|der [[w:Petersdom|Petersdom]] in Rom","Kölner Dom von Deutzer Seite.jpg|300px|1|[[w:Kölner Dom|Kölner Dom]]","",""
5587,762,Pfannkuchen,m,Pfannkuchen,Pfannkuchen,Pfannkuchens,Pfannkuchen,Pfannkuchen,Pfannkuchen,Pfannkuchen,Pfannkuchen,"","Pfannkuchen mit Zucker.jpg|280px|1|ein ''Pfannkuchen''","Berliner-Pfannkuchen.jpg|280px|2|Berliner ''Pfannkuchen''","",""
5593,760,Media,f,Media,"Mediä",Media,"Mediä",Media,"Mediä",Media,"Mediä","","","","",""
5598,759,Privatleben,n,Privatleben,Privatleben,Privatlebens,Privatleben,Privatleben,Privatleben,Privatleben,Privatleben,"","","","",""
5599,758,Hobby,n,Hobby,Hobbys,Hobbys,Hobbys,Hobby,Hobbys,Hobby,Hobbys,"","","","",""
5601,758,Zustimmung,f,Zustimmung,Zustimmungen,Zustimmung,Zustimmungen,Zustimmung,Zustimmungen,Zustimmung,Zustimmungen,"","","","",""
5604,757,Futter,n,Futter,"",Futters,"",Futter,"",Futter,"","","Anbindestall.JPG|thumb|1|eine Kuh und ihr ''Futter''","Rotkehlchen 03.jpg|tumb|1|Rotkehlchen mit ''Futter''","",""
5604,757,Futter,n,Futter,Futter,Futters,Futter,Futter,Futtern,Futter,Futter,"","Tailored sport coat partial lining.jpg|thumb|1|eine Jacke mit teilweisem ''Futter''","Drillbohrer 03 (fcm).jpg|thumb|3|das ''Futter'' für und mit einem Drillbohrer","",""
5606,756,Bischof,m,Bischof,"Bischöfe",Bischofs,"Bischöfe",Bischof,"Bischöfen",Bischof,"Bischöfe","Bischof-GL-Müller.JPG|200px|1|ein katholischer ''Bischof''","","","",""
5609,755,Kinderspiel,n,Kinderspiel,Kinderspiele,Kinderspieles,Kinderspiele,Kinderspiel,Kinderspielen,Kinderspiel,Kinderspiele,"Paques01.jpg|mini|1|''Kinderspiel'': [[Papa]], [[Mama]], [[Kind]]","","","",""
5614,754,Gray,n,Gray,Gray,Grays,Gray,Gray,Gray,Gray,Gray,"","","","",""
5625,752,Badewanne,f,Badewanne,Badewannen,Badewanne,Badewannen,Badewanne,Badewannen,Badewanne,Badewannen,"Clawfoot bathtub.jpg|260px|1|freistehende ''Badewanne'' mit Klauenfüßen","","","",""
5626,752,Batterie,f,Batterie,Batterien,Batterie,Batterien,Batterie,Batterien,Batterie,Batterien,"",Photo-CarBattery.jpg|210px|1|Auto-Batterie,Battery2.png|210px|1|Batterie,"",""
5631,751,"Päckchen",n,"Päckchen","Päckchen","Päckchens","Päckchen","Päckchen","Päckchen","Päckchen","Päckchen","","Seized drugs - cannabis, cocaine, amphetamine, MDMA.jpg|thumb|1|[[beschlagnahmt]]e ''Päckchen'' [[verschieden]]er [[Drogen]]","Bundesarchiv Bild 183-27965-0001, Leipzig, Paketpostamt N 18, Transportbänder.jpg|thumb|2|[[Paket]]e ([[groß]]) und ''Päckchen'' ([[klein]]) auf einem [[Förderband]]","ACUARELA.jpg|thumb|3|auch [[Fischerboot]]e werden [[häufig]] im ''Päckchen'' [[festmachen|festgemacht]]",""
5635,751,"Bräutigam",m,"Bräutigam","Bräutigame","Bräutigams","Bräutigame","Bräutigam","Bräutigamen","Bräutigam","Bräutigame","","","","",""
5638,750,Strahlung,f,Strahlung,Strahlungen,Strahlung,Strahlungen,Strahlung,Strahlungen,Strahlung,Strahlungen,"","","","",""
5639,750,Raub,m,Raub,Raube,Raubs,Raube,Raub,Rauben,Raub,Raube,"Raub der Sabinerinnen anonym 17o18Jh.jpg|240px|1|der ''Raub'' der Sabinerinnen anonym 17.oder 18.Jahrhundert","","","",""
5643,749,Police,f,Police,Policen,Police,Policen,Police,Policen,Police,Policen,"","","","",""
5648,748,Gitter,n,Gitter,Gitter,Gitters,Gitter,Gitter,Gittern,Gitter,Gitter,"Affe am gitter.jpg|mini|1|[[Kapuzineraffe]] am ''Gitter'' &lt;!-- das offensichtlich kein Geflecht ist --&gt;","","","",""
5652,748,Regie,f,Regie,Regien,Regie,Regien,Regie,Regien,Regie,Regien,"","","","",""
5654,748,Tower,m,Tower,Tower,Tower,Tower,Tower,Towern,Tower,Tower,"","Iraq Airways 737-200, BIAP.jpg|200px|1|''Tower'' auf dem Baghdad International Airport, davor ein Flugzeug","Case_miditower.jpg|200px|2|''Tower'' ohne eingebaute [[Hardware]]","",""
5660,746,Nachbarin,f,Nachbarin,Nachbarinnen,Nachbarin,Nachbarinnen,Nachbarin,Nachbarinnen,Nachbarin,Nachbarinnen,"","","","",""
5663,746,Hausmeister,m,Hausmeister,Hausmeister,Hausmeisters,Hausmeister,Hausmeister,Hausmeistern,Hausmeister,Hausmeister,"Janitor.png|210px|1|computergenerierte Hausmeisterfigur","","","",""
5664,746,Kenntnis,f,Kenntnis,Kenntnisse,Kenntnis,Kenntnisse,Kenntnis,Kenntnissen,Kenntnis,Kenntnisse,"","","","",""
5667,746,Klemme,f,Klemme,Klemmen,Klemme,Klemmen,Klemme,Klemmen,Klemme,Klemmen,"gewünscht|1","","","",""
5668,745,Supermarkt,m,Supermarkt,"Supermärkte",Supermarkts,"Supermärkte",Supermarkt,"Supermärkten",Supermarkt,"Supermärkte","Basismarktnetherlands.jpg|250px|1|Gemüse und Obst im ''Supermarkt''","","","",""
5669,745,Chefin,f,Chefin,Chefinnen,Chefin,Chefinnen,Chefin,Chefinnen,Chefin,Chefinnen,"","","","",""
5670,745,Anpassung,f,Anpassung,Anpassungen,Anpassung,Anpassungen,Anpassung,Anpassungen,Anpassung,Anpassungen,"","","","",""
5675,744,Bedarf,m,Bedarf,Bedarfe,Bedarfs,Bedarfe,Bedarf,Bedarfen,Bedarf,Bedarfe,"Bedarf_nachfrage_angebot.jpg|mini|1|Elementare Marktmechanismen zum ''Bedarf''","","","",""
5685,743,Balkon,m,Balkon,Balkons,Balkons,Balkons,Balkon,Balkons,Balkon,Balkons,"","Balcon_pierre_château_Fontainebleau.jpg|mini|1|[[steinern]]er, [[renaissancistisch]]er ''Balkon'' am rund 60 Kilometer südlich von [[Paris]] gelegenen [[w:Schloss Fontainebleau|Schloss Fontainebleau]];&lt;br /&gt;Aufnahme von Benutzer [[c:User:Jebulon|Jebulon]] am 7. Mai 2012","Altaner på søndre ringgade.jpg|mini|1|''Balkone'' an einem [[Wohnblock]] in [[w:Aarhus|Aarhus]], [[Dänemark]];&lt;br /&gt;Aufnahme von [[c:User:Villy Fink Isaksen|Villy Fink Isaksen]] am 3. August 2015","Riv Aud HDR-Def10.jpg|mini|2|Blick vom ''Balkon'' des [[w:en:Riviera Theatre|Riviera Theatre]] in [[London]];&lt;br /&gt;Aufnahme von Kevin J. Saky Anfang 2008","A_girl_with_her_big_tits.jpg|mini|3|''Balkon'' einer jungen Frau;&lt;br /&gt;Aufnahme von Julia Michelle Lopez am 7. Juni 2011"
5686,742,Sherry,m,Sherry,Sherrys,Sherrys,Sherrys,Sherry,Sherrys,Sherry,Sherrys,"Del Duque Amontillado Sherry.jpg|200px|1|Ein Glas ''Sherry'' mit Oliven","","","",""
5689,742,Keks,mn,Keks,Kekse,"",Kekse,Keks,Keksen,Keks,Kekse,"Fourrékoeken.jpg|280px|1|ein Teller mit ''Keksen''","","","",""
5690,742,Haft,f,Haft,"",Haft,"",Haft,"",Haft,"","","","","",""
5690,742,Haft,m,Haft,Hafte,Hafts,Hafte,Haft,Haften,Haft,Hafte,"Mantispidae fg1.jpg|230px|1|ein Fanghaft","","","",""
5691,742,Wurm,m,Wurm,"Würmer",Wurmes,"Würmer",Wurm,"Würmern",Wurm,"Würmer","Earthworm on stone.jpg|thumb|1|ein ''Wurm''","","","",""
5691,742,Wurm,n,Wurm,"Würmer",Wurms,"Würmer",Wurm,"Würmern",Wurm,"Würmer","","","","",""
5691,742,Wurm,f,Wurm,"",Wurm,"",Wurm,"",Wurm,"","Wurm im Gegenlicht beim Gut Klein-Siersdorf.jpg|210px|1|regulierter Lauf der ''Wurm'' bei Klein Siersdorf","","","",""
5693,741,Befragung,f,Befragung,Befragungen,Befragung,Befragungen,Befragung,Befragungen,Befragung,Befragungen,"","","","",""
5697,740,Verzweiflung,f,Verzweiflung,Verzweiflungen,Verzweiflung,Verzweiflungen,Verzweiflung,Verzweiflungen,Verzweiflung,Verzweiflungen,"","","","",""
5698,740,Samen,m,Samen,Samen,Samens,Samen,Samen,Samen,Samen,Samen,"","Loewenzahn samen.jpg|mini|1|''Samen'' vom Löwenzahn","","",""
5706,739,Bunker,m,Bunker,Bunker,Bunkers,Bunker,Bunker,Bunkern,Bunker,Bunker,"","ValentinBremen.JPG|mini|1|''Bunker'' für [[U-Boote]] in [[Bremen]]","Golf bunkers Filton.jpg|mini|4|''Bunker'' vor dem [[Grün]], Filton [[Golf]] [[Club]], [[England]]","",""
5707,739,"Anfänger",m,"Anfänger","Anfänger","Anfängers","Anfänger","Anfänger","Anfängern","Anfänger","Anfänger","","","","",""
5711,738,Annahme,f,Annahme,Annahmen,Annahme,Annahmen,Annahme,Annahmen,Annahme,Annahmen,"","","","",""
5716,738,Dose,f,Dose,Dosen,Dose,Dosen,Dose,Dosen,Dose,Dosen,"Can(Easy Open Can).JPG|mini|1|eine ''Dose''","","","",""
5718,737,Radar,mn,Radar,Radare,"",Radare,Radar,Radaren,Radar,Radare,"","Radarops.gif|200px|1|Animation der Funktionsweise eines ''Radars''","ASR-9 Radar Antenna.jpg|200px|2|''Radar''-Antenne","",""
5719,737,Pommes,0,"",Pommes,"",Pommes,"",Pommes,"",Pommes,"BK-French-Fries.jpg|mini|1|''Pommes''","","","",""
5723,736,Akademie,f,Akademie,Akademien,Akademie,Akademien,Akademie,Akademien,Akademie,Akademien,"","","","",""
5727,735,Lache,f,Lache,Lachen,Lache,Lachen,Lache,Lachen,Lache,Lachen,"","","","",""
5727,735,Lache,f,Lache,Lachen,Lache,Lachen,Lache,Lachen,Lache,Lachen,"","","","",""
5728,735,Blutung,f,Blutung,Blutungen,Blutung,Blutungen,Blutung,Blutungen,Blutung,Blutungen,"","","","",""
5729,735,Anfall,m,Anfall,"Anfälle",Anfalls,"Anfälle",Anfall,"Anfällen",Anfall,"Anfälle","","","","",""
5731,734,Depp,mm,Depp,Deppen,"",Deppen,Deppen,Deppen,Deppen,Deppen,"","","","",""
5735,734,Kasten,m,Kasten,"Kästen",Kastens,"Kästen",Kasten,"Kästen",Kasten,"Kästen","","","","",""
5739,732,Horn,n,Horn,"Hörner",Horns,"Hörner",Horn,"Hörnern",Horn,"Hörner","","French horn.jpg|mini|1|ein ''Horn''","Southern White Rhine 001.jpg|mini|2|zweierlei ''Horn'' eines Nashorns","Signal Horn HamburgMuseum 2.jpg|mini|6|traditionelles ''Horn'' &lt;!--aus einem Horn--&gt;",""
5744,731,Highway,m,Highway,Highways,Highways,Highways,Highway,Highways,Highway,Highways,"Us127 east lansing.jpg|mini|1|Der ''Highway'' 127","","","",""
5751,729,Premierminister,m,Premierminister,Premierminister,Premierministers,Premierminister,Premierminister,Premierministern,Premierminister,Premierminister,"","","","",""
5753,729,Kamin,mn,Kamin,Kamine,"",Kamine,Kamin,Kaminen,Kamin,Kamine,"","Fireplace image.jpg|mini|1|offener ''Kamin'' im Wohnbereich","Freistehender Kamin.jpg|mini|2|freistehender ''Kamin'' eines Wohnhauses","Kamin in Giebelwand.jpg|mini|2|''Kamin'' als Teil der Giebelwand",""
5759,728,Mitbewohner,m,Mitbewohner,Mitbewohner,Mitbewohners,Mitbewohner,Mitbewohner,Mitbewohnern,Mitbewohner,Mitbewohner,"","","","",""
5761,728,Rang,m,Rang,"Ränge",Rangs,"Ränge",Rang,"Rängen",Rang,"Ränge","","","","",""
5763,727,Formel,f,Formel,Formeln,Formel,Formeln,Formel,Formeln,Formel,Formeln,"","","","",""
5766,727,Kennzeichen,n,Kennzeichen,Kennzeichen,Kennzeichens,Kennzeichen,Kennzeichen,Kennzeichen,Kennzeichen,Kennzeichen,"German registration 1531.jpg|mini|2|''Kennzeichen'' eines Straßenfahrzeugs","","","",""
5769,726,Staatsanwaltschaft,f,Staatsanwaltschaft,Staatsanwaltschaften,Staatsanwaltschaft,Staatsanwaltschaften,Staatsanwaltschaft,Staatsanwaltschaften,Staatsanwaltschaft,Staatsanwaltschaften,"","","","",""
5771,726,Back,f,Back,Backen,Back,Backen,Back,Backen,Back,Backen,"","","","",""
5771,726,Back,m,Back,Backs,Backs,Backs,Back,Backs,Back,Backs,"","","","",""
5773,726,Kampagne,f,Kampagne,Kampagnen,Kampagne,Kampagnen,Kampagne,Kampagnen,Kampagne,Kampagnen,"","","","",""
5774,725,Gasse,f,Gasse,Gassen,Gasse,Gassen,Gasse,Gassen,Gasse,Gassen,"","Venice - Calle.jpg|mini|1|Eine venezianische ''Gasse''","Stadiongasse 11.JPG|mini|2|Eine Wiener ''Gasse''","",""
5777,725,Zeitplan,m,Zeitplan,"Zeitpläne",Zeitplanes,"Zeitpläne",Zeitplan,"Zeitplänen",Zeitplan,"Zeitpläne","","","","",""
5779,725,Medikament,n,Medikament,Medikamente,Medikaments,Medikamente,Medikament,Medikamenten,Medikament,Medikamente,"Rispolept.jpg|mini|1|Das ''Medikament'' Risperidon","","","",""
5780,725,Versuchung,f,Versuchung,Versuchungen,Versuchung,Versuchungen,Versuchung,Versuchungen,Versuchung,Versuchungen,"","Versuchung und Ende 01.jpg|thumb|1|''Versuchung,'' wie [[:w:Wilhelm Busch|Wilhelm Busch]] sie [[sehen|sah]]","","",""
5795,722,Dokument,n,Dokument,Dokumente,Dokumentes,Dokumente,Dokument,Dokumenten,Dokument,Dokumente,"","","","",""
5803,720,Profit,m,Profit,Profite,Profits,Profite,Profit,Profiten,Profit,Profite,"","","","",""
5804,720,Invasion,f,Invasion,Invasionen,Invasion,Invasionen,Invasion,Invasionen,Invasion,Invasionen,"","","","",""
5805,720,Neugier,f,Neugier,"",Neugier,"",Neugier,"",Neugier,"","","","","",""
5818,718,Zoll,m,Zoll,"Zölle",Zolls,"Zölle",Zoll,"Zöllen",Zoll,"Zölle","","ZollDouane.svg|mini|3|Hinweis auf eine ''Zoll''station","","",""
5818,718,Zoll,mn,Zoll,Zoll,"",Zoll,Zoll,Zoll,Zoll,Zoll,"Steel ruler closeup.jpg|160px|1|Maßband mit ''Zoll'' (unten) und Zentimeter (oben)","","","",""
5835,714,Schweizer,m,Schweizer,Schweizer,Schweizers,Schweizer,Schweizer,Schweizern,Schweizer,Schweizer,"Vatican 2.jpg|thumb|2|''Schweizer''","","","",""
5836,714,Madison,m,Madison,Madisons,Madisons,Madisons,Madison,Madisons,Madison,Madisons,"","","","",""
5838,714,Philosophie,f,Philosophie,Philosophien,Philosophie,Philosophien,Philosophie,Philosophien,Philosophie,Philosophien,"","","","",""
5839,713,Schere,f,Schere,Scheren,Schere,Scheren,Schere,Scheren,Schere,Scheren,"","Scissor-for-paper.jpg|250px|1|Eine Standard''schere'' für Papier","2005-12-31 - Hummer2.jpg|250 px|2|''Scheren'' eines Hummers","",""
5841,713,Axt,f,Axt,"Äxte",Axt,"Äxte",Axt,"Äxten",Axt,"Äxte","","Axe.jpg|210px|1|''Axt'', welche in einem Hackklotz steckt","Firefighter with axe.jpg|mini|1|Feuermann mit ''Axt''","",""
5846,713,Mylady,f,Mylady,Myladys,Mylady,Myladys,Mylady,Myladys,Mylady,Myladys,"","","","",""
5847,712,Drohung,f,Drohung,Drohungen,Drohung,Drohungen,Drohung,Drohungen,Drohung,Drohungen,"","","","",""
5848,712,"Ausländer",m,"Ausländer","Ausländer","Ausländers","Ausländer","Ausländer","Ausländern","Ausländer","Ausländer","","","","",""
5851,712,Niere,f,Niere,Nieren,Niere,Nieren,Niere,Nieren,Niere,Nieren,"Gray1120-kidneys.png|thumb|1|die ''Nieren'' im menschlichen Körper","","","",""
5853,711,Berufung,f,Berufung,Berufungen,Berufung,Berufungen,Berufung,Berufungen,Berufung,Berufungen,"","","","",""
5858,710,Wirt,m,Wirt,Wirte,Wirts,Wirte,Wirt,Wirten,Wirt,Wirte,"","Ordering_wine.jpg|195px|1|Wirt mit einem Kunden am [[Tresen]]","Ants aphids nerium2.jpg|200px|2|Oleanderpflanze als '''Wirt''' für Blattläuse","",""
5864,708,Drache,m,Drache,Drachen,Drachen,Drachen,Drachen,Drachen,Drachen,Drachen,"","Hokusai Dragon.jpg|thumb|1|''Drache'' von Katsushika Hokusai","NGC 6503 HST.jpg|thumb|2|NGC 6503 im Sternbild ''Drache''","",""
5868,708,Rhythmus,m,Rhythmus,Rhythmen,Rhythmus,Rhythmen,Rhythmus,Rhythmen,Rhythmus,Rhythmen,"","","","",""
5873,707,Dolch,m,Dolch,Dolche,Dolchs,Dolche,Dolch,Dolchen,Dolch,Dolche,"Fairbairn-Sykes knife.jpg|250px|1|Dolch","","","",""
5874,707,Frequenz,f,Frequenz,Frequenzen,Frequenz,Frequenzen,Frequenz,Frequenzen,Frequenz,Frequenzen,"","","","",""
5875,707,Drecksack,m,Drecksack,"Drecksäcke",Drecksacks,"Drecksäcke",Drecksack,"Drecksäcken",Drecksack,"Drecksäcke","","","","",""
5876,707,Lagerhaus,n,Lagerhaus,"Lagerhäuser",Lagerhauses,"Lagerhäuser",Lagerhaus,"Lagerhäusern",Lagerhaus,"Lagerhäuser","Hamburg Saalehafen.jpg|250px|1|Lagerhaus","","","",""
5877,706,Journalist,m,Journalist,Journalisten,Journalisten,Journalisten,Journalisten,Journalisten,Journalisten,Journalisten,"","Buster Olney 2011.jpg|thumb|1|ein ''Journalist'' beim [[Interview]] mit einem [[Sportler]]","Gordon Sinclair at the Toronto Star.jpg|thumb|1|ein ''Journalist'' mit einem [[früher]] [[typisch]]en [[Arbeitsmittel]], [[sein]]er [[Schreibmaschine]]","",""
5878,706,End,n,End,Ends,Ends,Ends,End,Ends,End,Ends,"","","","",""
5879,706,Treibstoff,m,Treibstoff,Treibstoffe,Treibstoffes,Treibstoffe,Treibstoff,Treibstoffen,Treibstoff,Treibstoffe,"Fuel Barrels.JPG|mini|1|''Treibstoff'' in Fässern","","","",""
5881,706,Wa,0,"",Wa,"",Wa,"",Wa,"",Wa,"","","","",""
5884,705,Finale,n,Finale,Finale,Finales,Finale,Finale,Finalen,Finale,Finale,"","","","",""
5885,705,Tuch,n,Tuch,"Tücher",Tuchs,"Tücher",Tuch,"Tüchern",Tuch,"Tücher","Cloth,_microfiber,_folding_step_01.JPG|mini|1, 2|Ein Mikrofaser''staubtuch''","","","",""
5889,704,Brandy,m,Brandy,Brandys,Brandys,Brandys,Brandy,Brandys,Brandy,Brandys,"","","","",""
5893,703,Durchbruch,m,Durchbruch,"Durchbrüche",Durchbruchs,"Durchbrüche",Durchbruch,"Durchbrüchen",Durchbruch,"Durchbrüche","","","","",""
5895,703,Mexikaner,m,Mexikaner,Mexikaner,Mexikaners,Mexikaner,Mexikaner,Mexikanern,Mexikaner,Mexikaner,"","","","",""
5908,701,Ermordung,f,Ermordung,Ermordungen,Ermordung,Ermordungen,Ermordung,Ermordungen,Ermordung,Ermordungen,"","","","",""
5911,700,Abwesenheit,f,Abwesenheit,Abwesenheiten,Abwesenheit,Abwesenheiten,Abwesenheit,Abwesenheiten,Abwesenheit,Abwesenheiten,"","","","",""
5912,700,Marines,0,"",Marines,"",Marines,"",Marines,"",Marines,"","","","",""
5916,699,Lebensmittel,n,Lebensmittel,Lebensmittel,Lebensmittels,Lebensmittel,Lebensmittel,Lebensmitteln,Lebensmittel,Lebensmittel,"Foods.jpg|mini|1|''Lebensmittel''","","","",""
5917,698,Anwesen,n,Anwesen,Anwesen,Anwesens,Anwesen,Anwesen,Anwesen,Anwesen,Anwesen,"Thomas Jefferson's Monticello.JPG|thumb|1|Das von [[w:Thomas Jefferson|Thomas Jefferson]] [[bauen|gebaute]] [[Haus]] ist [[heute]] ein sehr [[exklusiv]]es ''Anwesen.''","","","",""
5919,698,Tinte,f,Tinte,Tinten,Tinte,Tinten,Tinte,Tinten,Tinte,Tinten,"Tinte1.JPG|mini|1|Tinte (Tintenfässer und Tintenklecks)","","","",""
5923,698,Feuerwerk,n,Feuerwerk,Feuerwerke,Feuerwerks,Feuerwerke,Feuerwerk,Feuerwerken,Feuerwerk,Feuerwerke,"Fireworks in Zwickau.jpg|mini|1|''Feuerwerk'' in [[Zwickau]]","","Ignis Brunensis 2011-06-10.ogv|mini|1|''Feuerwerk'' in [[Tschechien]]","",""
5925,697,"Türklingel",f,"Türklingel","Türklingeln","Türklingel","Türklingeln","Türklingel","Türklingeln","Türklingel","Türklingeln","","","","",""
5932,696,Todesursache,f,Todesursache,Todesursachen,Todesursache,Todesursachen,Todesursache,Todesursachen,Todesursache,Todesursachen,"","","","",""
5936,696,Fell,n,Fell,Felle,Felles,Felle,Fell,Fellen,Fell,Felle,"","Odd-eyed Turkish Angora cat - 20080830.jpg|thumb|1| das weiße, weiche ''Fell'' einer Angorakatze","Gotland lamb fur skin.jpg|210px|2|''Fell'' eines Lammes","",""
5937,696,Region,f,Region,Regionen,Region,Regionen,Region,Regionen,Region,Regionen,"","","","",""
5938,695,Po,m,Po,Pos,Pos,Pos,Po,Pos,Po,Pos,"Image-Ass 2.jpg|160px|1|eine bildliche Darstellung eines ''Pos''","","","",""
5938,695,Po,m,Po,"",Po,"",Po,"",Po,"","LocationPoRiver.PNG|180px|1|Der Verlauf des Po in Italien","","","",""
5941,695,"Hintertür",f,"Hintertür","Hintertüren","Hintertür","Hintertüren","Hintertür","Hintertüren","Hintertür","Hintertüren","","","","",""
5942,695,Herkunft,f,Herkunft,"Herkünfte",Herkunft,"Herkünfte",Herkunft,"Herkünften",Herkunft,"Herkünfte","","","","",""
5943,695,Beitrag,m,Beitrag,"Beiträge",Beitrags,"Beiträge",Beitrag,"Beiträgen",Beitrag,"Beiträge","","","","",""
5949,694,Ausstellung,f,Ausstellung,Ausstellungen,Ausstellung,Ausstellungen,Ausstellung,Ausstellungen,Ausstellung,Ausstellungen,"","","","",""
5950,694,Gen,n,Gen,Gene,Gens,Gene,Gen,Genen,Gen,Gene,"Gene.png|mini|1|Darstellung eines eukaryotischen ''Gens''","","","",""
5954,693,Fee,f,Fee,Feen,Fee,Feen,Fee,Feen,Fee,Feen,"I samma ögonblick var hon förvandlad till en underskön liten älva.jpg|250px|1|''Fee'' auf einem Gemälde von [[w:John Bauer|John Bauer]]","","","",""
5955,693,Fahne,f,Fahne,Fahnen,Fahne,Fahnen,Fahne,Fahnen,Fahne,Fahnen,"Japanese tour guide.jpg|mini|1|Frau hält eine ''Fahne'' hoch","","","",""
5956,693,Droge,f,Droge,Drogen,Droge,Drogen,Droge,Drogen,Droge,Drogen,"","","","",""
5957,692,Kerze,f,Kerze,Kerzen,Kerze,Kerzen,Kerze,Kerzen,Kerze,Kerzen,"","New Year Scene.jpg|mini|1|''Kerzen'' bei einem Neujahrsfest","Animation candle flame.gif|mini|1|[[brennend]]e ''Kerze''","",""
5959,692,Hamburger,m,Hamburger,Hamburger,Hamburgers,Hamburger,Hamburger,Hamburgern,Hamburger,Hamburger,"","","","",""
5959,692,Hamburger,m,Hamburger,Hamburger,Hamburgers,Hamburger,Hamburger,Hamburgern,Hamburger,Hamburger,"Hamburger sandwich.jpg|270px|1|ein ''Hamburger''","","","",""
5961,691,Schiss,m,Schiss,Schisse,Schisses,Schisse,Schiss,Schissen,Schiss,Schisse,"Bernard Picart - The Perfumer.jpg|220px|1|Darstellung eines Mannes beim ''Schiss'' („Le Parfumeur“ von Bernard Picart)","","","",""
5963,691,Kneipe,f,Kneipe,Kneipen,Kneipe,Kneipen,Kneipe,Kneipen,Kneipe,Kneipen,"","Berlin Neukölln Eckkneipe.jpg|mini|1|Eck''kneipe'' in Berlin","Mühlberg - Cantus.jpg|mini|2|Verbindungsstudenten singen auf einer ''Kneipe''","",""
5965,691,Siegel,n,Siegel,Siegel,Siegels,Siegel,Siegel,Siegeln,Siegel,Siegel,"","","","",""
5969,690,Cross,m,Cross,Cross,Cross,Cross,Cross,Cross,Cross,Cross,"","","","",""
5970,690,Barkeeper,m,Barkeeper,Barkeeper,Barkeepers,Barkeeper,Barkeeper,Barkeepern,Barkeeper,Barkeeper,"","","","",""
5971,690,Pressekonferenz,f,Pressekonferenz,Pressekonferenzen,Pressekonferenz,Pressekonferenzen,Pressekonferenz,Pressekonferenzen,Pressekonferenz,Pressekonferenzen,"","","","",""
5975,690,Inhalt,m,Inhalt,Inhalte,Inhalts,Inhalte,Inhalt,Inhalten,Inhalt,Inhalte,"","","","",""
5979,689,"Höhepunkt",m,"Höhepunkt","Höhepunkte","Höhepunktes","Höhepunkte","Höhepunkt","Höhepunkten","Höhepunkt","Höhepunkte","","","","",""
5981,689,"Erlösung",f,"Erlösung","Erlösungen","Erlösung","Erlösungen","Erlösung","Erlösungen","Erlösung","Erlösungen","","","","",""
5982,689,Partnerin,f,Partnerin,Partnerinnen,Partnerin,Partnerinnen,Partnerin,Partnerinnen,Partnerin,Partnerinnen,"","","","",""
5983,688,Model,n,Model,Models,Models,Models,Model,Models,Model,Models,"Heidi Mount at Chanel SS2012 Collection Photo Ed Kavishe.jpg|mini|2|''Model'' in Chanel auf dem Laufsteg","","","",""
5983,688,Model,m,Model,Model,Models,Model,Model,Modeln,Model,Model,"Springerle mould rococo front side.jpg|210px|1|hölzerner ''Model'' für Springerle","","","",""
5985,688,Ritual,n,Ritual,Rituale,Rituals,Rituale,Ritual,Ritualen,Ritual,Rituale,"","","","",""
5986,688,Segel,n,Segel,Segel,Segels,Segel,Segel,Segeln,Segel,Segel,"Iskra Entwicklungsgeschichte Segel.jpg|250px|1|verschiedene ''Segel''","","","",""
5989,687,Netzwerk,n,Netzwerk,Netzwerke,Netzwerks,Netzwerke,Netzwerk,Netzwerken,Netzwerk,Netzwerke,"Netz.svg|mini|2|schematische Darstellung eines ''Netzwerkes''","","","",""
5990,686,Marianne,f,Marianne,"",Marianne,"",Marianne,"",Marianne,"","","Eugène Delacroix - La liberté guidant le peuple.jpg|260px|1|„Die Freiheit führt das Volk“, Eugène Delacroix (1830)","","",""
5991,686,Dynamit,n,Dynamit,"",Dynamits,"",Dynamit,"",Dynamit,"","","","","",""
6004,685,Flittchen,n,Flittchen,Flittchen,Flittchens,Flittchen,Flittchen,Flittchen,Flittchen,Flittchen,"","","","",""
